text	label
1대1.618의 황금비	1
3.5각형은 존재한다	0
3초 안에 주우면 먹어도 된다	0
A형은 소심하다	0
A형은 착하다	0
GSM은 위험하다	1
MSG는 딱히 해롭지 않다	1
MSG는 몸에 안좋다	0
MSG는 안좋다	0
MSG는 위험하다	0
MSG는 유해하다	0
MSG는 인체에 유해하다	0
NFT 거래소가 해킹된 적이 있다	1
O형은 활발하고 밝다	0
게르마늄은 몸에 끝내준다	0
게르마늄은 몸에 좋다	0
게르마늄은 별 효과가 없다	1
게르마늄이 몸에 좋다	0
고등어 구우면 미세먼지가 나오기에 미세먼지 농도를 낮추기위해선 안굽는게 좋다	0
골전도 이어폰은 난청을 예방하는 효과가 있다	0
골전도 이어폰을 끼면 골다공증이 심화된다	0
공짜좋아하면 탈모온다	0
관상은 과학이다	0
규칙적인 수면패턴은 성장에 도움이 된다	1
냄새로도 살찐다	0
냄새만 맡아도 살찐다	0
달팽이도 이빨이 있다	1
대한민국은 물부족 국가이다	0
대한민국은 물부족이다	0
떨어진 음식 3초안에 주워먹으면 괜찮다	0
라이츄는 게르마늄으로 만들어졌다	0
마시멜로우 실험에는 오류가 많다	1
마시멜로우 실험은 오류가 있다	1
마시멜로우실험은 참을성이 성공 가능성에 대해 관련이 있다는 것을 증명하였다.	0
모든 물체는 엔트로피가 증가하는 방향으로 운동한다	1
몸이 스트레스를 많이 받으면 몸이 산성으로 변한다	0
무와 배추는 십자화과에 속한다	1
무한 동력은 가능하다	0
물은 답을 알고 있다	0
물은 답을 알고있다	0
미래는 엔트로피가 증가하는 방향으로 진행된다	1
미세먼지는 고등어를 구워서 더 심해진다	0
미세먼지에 삼겹살이 좋다	0
미세먼지에는 삼겹살을 먹으면 좋다	0
미세먼지에는 삼겹살이 진리다	0
바나나를 걸어두면 나무에 있다고 착각해서 잘 안익는다	0
바나나를 걸어두면 천천히 익는다	0
바나나를 공중에 매달아두면 천천히 익는다	0
밤에 먹는 사과는 독이다	0
밥이 있어야 인류가 발전한다	1
백신 반대론은 말도 안된다	1
백신은 맞아야한다	1
백신은 맞으면 안된다	0
백신은 안맞는게 좋다	0
백신은 위험하다	0
백신은 위험하지 않다	1
백신은 위험해서 안맞는게 좋다	0
백신은 위협적이다	0
백인은 다른 인종보다 우월하다	0
백인은 우월하다	0
보조배터리끼리 연결하면 무한동력	0
불로 지혈하면 위험하다	1
브레세어리언은 진짜다	0
빛은 중력의 영향을 받는다	0
사람은 뇌의 10퍼밖에 못쓴다	0
사실 MSG는 인체에 무해하다는 사실이 발표되었다	1
